"","location","iso_code","date","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","population","life_expectancy","pop_text","Percentage","same_percentage"
"1","Afghanistan","AFG",2021-11-27,5228706,4397449,3566192,13.13,11.04,8.95,39835428,64.74,"39.8M","13.13","Same"
"2","Albania","ALB",2021-12-18,2251010,1119430,1008465,78.35,38.96,35.1,2872934,78.7,"2.9M","78.35","Same"
"3","Algeria","DZA",2021-11-30,12293060,6875003,5391232,27.55,15.41,12.08,44616626,78.49,"44.6M","27.55","Same"
"4","Angola","AGO",2021-12-15,10805281,7246240,3559041,31.84,21.35,10.49,33933611,65.71,"33.9M","31.84","Same"
"5","Antigua and Barbuda","ATG",2021-12-10,119809,61921,57888,121.35,62.72,58.63,98728,77.54,"98.7K","121.35","Same"
"6","Argentina","ARG",2021-12-19,73401337,37621512,31652243,160.95,82.49,69.4,45605823,77.25,"45.6M","160.95","Same"
"7","Armenia","ARM",2021-12-12,1452374,869750,582624,48.93,29.3,19.63,2968128,76.18,"3.0M","48.93","Same"
"8","Australia","AUS",2021-12-19,41251388,20328607,19553057,159.96,78.83,75.82,25788217,83,"25.8M","159.96","Same"
"9","Austria","AUT",2021-12-19,15864317,6549154,6321893,175.43,72.42,69.91,9043072,82.25,"9.0M","175.43","Same"
"10","Azerbaijan","AZE",2021-12-19,11066874,5140913,4641869,108.25,50.29,45.4,10223344,71.28,"10.2M","108.25","Same"
"11","Bahamas","BHS",2021-12-15,293226,157232,145793,73.88,39.61,36.73,396914,74.34,"396.9K","73.88","Same"
"12","Bahrain","BHR",2021-12-19,3106701,1195481,1169267,177.7,68.38,66.88,1748295,80.02,"1.7M","177.7","Same"
"13","Bangladesh","BGD",2021-12-17,132282376,87546674,44735702,79.54,52.64,26.9,166303494,74.23,"166.3M","79.54","Same"
"14","Barbados","BRB",2021-12-18,297092,155192,141900,103.26,53.94,49.32,287708,77.57,"287.7K","103.26","Same"
"15","Belarus","BLR",2021-12-12,7217727,4064247,3039334,76.44,43.04,32.19,9442867,74.77,"9.4M","76.44","Same"
"16","Belgium","BEL",2021-12-16,20351329,8879748,8759422,174.95,76.34,75.3,11632334,82.02,"11.6M","174.95","Same"
"17","Belize","BLZ",2021-12-10,416878,229107,196741,102.95,56.58,48.59,404915,74.69,"404.9K","102.95","Same"
"18","Benin","BEN",2021-12-12,1425408,1363471,1062378,11.45,10.95,8.53,12451031,65.9,"12.5M","11.45","Same"
"19","Bhutan","BTN",2021-12-05,1154093,589482,564611,147.98,75.58,72.4,779900,75.34,"779.9K","147.98","Same"
"20","Bolivia","BOL",2021-12-16,9231661,5328739,4427369,78.02,45.03,37.42,11832936,73.85,"11.8M","78.02","Same"
"21","Bosnia and Herzegovina","BIH",2021-11-04,1553874,833233,720631,47.61,25.53,22.08,3263459,77.29,"3.3M","47.61","Same"
"22","Botswana","BWA",2021-12-15,2128351,1125993,1002358,88.78,46.97,41.81,2397240,70.17,"2.4M","88.78","Same"
"23","Brazil","BRA",2021-12-19,324846680,165417886,141488098,151.8,77.3,66.12,213993441,76.34,"214.0M","151.8","Same"
"24","Brunei","BRN",2021-12-14,790506,405092,385414,179.04,91.75,87.29,441532,75.9,"441.5K","179.04","Same"
"25","Bulgaria","BGR",2021-08-17,2176168,1089066,1087102,31.55,15.79,15.76,6896655,75.36,"6.9M","31.55","Same"
"26","Burkina Faso","BFA",2021-12-15,776941,442769,334172,3.61,2.06,1.55,21497097,63.32,"21.5M","3.61","Same"
